x1,x2,y
-0.813,-1.099,0
-0.414,-1.369,0
-0.463,0.195,0
-1.72,-2.537,0
-0.188,-0.25,0
-1.711,-0.508,0
-0.976,-0.324,0
-1.821,-3.03,0
-0.307,-0.687,0
-1.042,-1.173,0
-1.393,-1.287,0
-0.105,-1.505,0
-0.696,-1.016,0
-0.888,-1.385,0
-0.925,-2.182,0
-0.989,-0.878,0
-0.401,-0.565,0
-1.634,-2.338,0
-2.043,-2.684,0
-1.279,-1.949,0
0.884,1.261,1
1.706,1.997,1
1.225,0.943,1
1.047,0.01,1
1.461,1.554,1
-1.802,-2.659,0
-0.039,0.524,1
0.882,0.981,1
-0.113,1.11,1
0.7,1.427,1
-0.473,0.283,0
1.457,1.637,1
-0.698,0.526,1
2.282,1.329,1
0.117,0.869,1
0.522,0.098,1
2.24,0.605,1
2.612,1.165,1
1.479,1.327,1
0.484,0.67,1
-0.371,-0.666,0
-1.398,-0.995,0
-1.879,-0.916,0
-1.106,-0.256,0
-0.596,-0.875,0
-0.705,-0.133,0
2.211,1.69,1
-0.156,-0.216,0
0.958,0.706,1
0.405,-0.482,0
-0.804,-2.273,0
-1.205,-1.077,0
-1.772,-2.231,0
-1.026,-0.909,0
-1.219,-0.6,0
-0.994,0.228,0
-0.811,-0.487,0
-0.973,-0.65,0
-0.939,0.63,0
-1.114,-0.835,0
1.376,1.174,1
1.723,1.302,1
0.346,1.175,1
0.406,0.782,1
2.415,1.917,1
-0.325,0.542,1
2.255,0.75,1
0.428,0.398,1
1.018,0.573,1
1.136,0.484,1
-0.549,0.55,1
-0.843,-1.964,0
2.029,1.108,1
2.041,1.705,1
2.399,1.613,1
0.762,1.628,1
1.592,1.084,1
0.707,1.923,1
1.447,1.185,1
1.942,0.688,1
1.282,0.94,1
-0.024,0.326,1
-1.398,-1.954,0
1.183,1.328,1
3.092,1.03,1
1.426,1.489,1
0.704,1.07,1
0.017,0.532,1
-0.12,1.159,1
0.511,0.696,1
0.428,0.298,1
0.627,1.605,1
2.317,1.126,1
-1.771,-2.436,0
0.628,0.751,1
-0.114,0.483,1
1.095,-0.305,1
0.491,0.604,1
1.872,1.139,1
-0.174,0.628,1
