x1,x2
-0.187,0.747
2.824,0.377
0.713,0.766
1.635,1.846
2.711,1.996
0.456,0.592
0.564,0.969
1.86,1.812
-0.05,0.755
1.68,1.087
0.902,1.35
0.708,0.993
1.19,1.726
-0.143,1.287
-1.932,-2.018
1.297,0.519
-0.173,1.022
0.822,2.264
0.4,1.207
2.204,0.826
0.525,0.744
0.701,0.942
1.556,0.623
1.144,1.195
0.202,1.772
1.431,0.981
2.18,0.096
2.359,0.991
2.292,0.98
0.422,1.892
0.557,1.4
0.951,1.225
0.135,1.648
0.856,1.218
1.898,1.818
0.676,0.222
-0.062,-0.903
0.061,0.629
0.562,0.91
1.682,1.427
-0.185,-0.712
-1.309,-1.89
-1.095,-2.306
0.369,0.521
-1.228,-1.346
-1.746,-1.868
1.526,0.949
-1.014,0.144
-1.398,-0.09
-0.418,-0.362
-0.993,-2.258
-0.525,-0.897
-0.265,-0.324
-2.048,-1.228
-0.565,-1.016
0.949,0.06
-0.847,-1.409
-0.215,-0.161
0.339,-0.545
1.863,1.799
0.596,0.921
0.734,0.138
-0.365,0.603
1.902,1.448
1.155,0.739
1.969,1.346
1.859,1.83
1.321,0.187
-1.434,-1.908
0.849,0.338
0.193,0.211
0.79,1.18
1.44,1.859
0.181,0.771
1.464,1.867
0.518,1.005
1.622,0.824
1.282,0.83
-1.371,-2.468
-1.332,-1.805
-0.301,-0.815
-0.546,-1.417
-0.992,2.02
-1.525,-0.49
-1.656,-2.223
-0.823,-0.781
-0.256,-0.738
-0.483,-0.096
-0.801,-0.536
-0.765,-0.702
-1.423,-1.843
-0.6,-0.686
-1.76,-0.851
-0.596,-0.018
-1.583,-1.234
-1.333,-1.814
0.903,-0.055
0.221,0.926
-1.727,-1.149
-1.212,-0.82
0.628,1.473
-0.21,0.831
1.767,0.546
2.252,-0.016
1.331,1.413
-0.534,0.596
-1.514,-1.854
1.02,0.593
0.444,0.718
0.809,1.081
0.48,1.697
-1.145,-1.29
1.488,1.332
0.532,1.222
-0.211,0.54
-0.213,0.563
0.7,1.417
-0.318,1.073
0.416,-0.271
0.475,1.54
-0.098,0.134
2.731,2.092
1.831,0.673
-1.058,-0.724
0.196,-0.251
1.883,1.68
0.915,0.766
-0.064,0.622
0.599,0.956
0.328,1.476
1.432,1.173
0.815,1.585
1.813,1.094
0.934,1.862
0.731,0.112
2.698,1.891
1.517,1.288
-0.436,1.024
2.016,1.251
0.531,1.912
0.385,1.515
1.832,1.708
